"id";"qid";"lang";"source";"Remarks";"Dclt"
19;2;"Go";"type MinStack struct {
 
}
 
 
/** initialize your data structure here. */
func Constructor() MinStack {
 
}
 
 
func (this *MinStack) Push(x int)  {
 
}
 
 
func (this *MinStack) Pop()  {
 
}
 
 
func (this *MinStack) Top() int {
 
}
 
 ";"";"2020-03-25 15:17:52"
20;2;"Kotlin";"class MinStack() {
 
    /** initialize your data structure here. */
 
 
    fun push(x: Int) {
 
    }
 
    fun pop() {
 
    }
 
    fun top(): Int {
 
    }
 
    fun min(): Int {
 
    }
 
}
 
/**
 * Your MinStack object will be instantiated and 
called as such:";"";"2020-03-25 15:17:52"
21;2;"Python3";"class MinStack:
 
    def __init__(self):
        """"""
        initialize your data structure here.
        """"""
 
 
    def push(self, x: int) -> None:
 
 
    def pop(self) -> None:
 
 
    def top(self) -> int:
 
 
    def min(self) -> int:
 
 
 
# Your MinStack object will be instantiated and 
called as such:
# obj = MinStack()
# obj.push(x)
# obj.pop()";"";"2020-03-25 15:17:52"
22;2;"JavaScript";"/**
 * initialize your data structure here.
 */
var MinStack = function() {
 
};
 
/** 
 * @param {number} x
 * @return {void}
 */
MinStack.prototype.push = function(x) {
 
};
 
/**
 * @return {void}
 */
MinStack.prototype.pop = function() {
 
};
 
/**
 * @return {number}
 */
MinStack.prototype.top = function() {";"";"2020-03-25 15:17:52"
23;2;"PHP";"class MinStack {
    /**
     * initialize your data structure here.
     */
    function __construct() {
 
    }
 
    /**
     * @param Integer $x
     * @return NULL
     */
    function push($x) {
 
    }
 
    /**
     * @return NULL
     */
    function pop() {
 
    }
 
    /**
     * @return Integer
     */";"";"2020-03-25 15:17:52"
24;2;"Swift";"class MinStack {
 
    /** initialize your data structure here. */
    init() {
 
    }
    
    func push(_ x: Int) {
 
    }
    
    func pop() {
 
    }
    
    func top() -> Int {
 
    }
    
    func min() -> Int {
 
    }
}
 
/**
 * Your MinStack object will be instantiated and ";"";"2020-03-25 15:17:52"
25;2;"Ruby";"class MinStack
 
=begin
    initialize your data structure here.
=end
    def initialize()
 
    end
 
 
=begin
    :type x: Integer
    :rtype: Void
=end
    def push(x)
 
    end
 
 
=begin
    :rtype: Void
=end
    def pop()
 
    end
 ";"";"2020-03-25 15:17:52"
26;2;"Python";"class MinStack(object):
 
    def __init__(self):
        """"""
        initialize your data structure here.
        """"""
 
 
    def push(self, x):
        """"""
        :type x: int
        :rtype: None
        """"""
 
 
    def pop(self):
        """"""
        :rtype: None
        """"""
 
 
    def top(self):
        """"""
        :rtype: int
        """"""
 ";"";"2020-03-25 15:17:52"
27;3;"C#";"public class MyQueue {
 
    /** Initialize your data structure here. */
    public MyQueue() {
 
    }
    
    /** Push element x to the back of queue. */
    public void Push(int x) {
 
    }
    
    /** Removes the element from in front of queue 
and returns that element. */
    public int Pop() {
 
    }
    
    /** Get the front element. */
    public int Peek() {
 
    }
    
    /** Returns whether the queue is empty. */
    public bool Empty() {
 ";"";"2020-03-25 15:17:52"
28;3;"Java";"class MyQueue {
 
    /** Initialize your data structure here. */
    public MyQueue() {
 
    }
    
    /** Push element x to the back of queue. */
    public void push(int x) {
 
    }
    
    /** Removes the element from in front of queue 
and returns that element. */
    public int pop() {
 
    }
    
    /** Get the front element. */
    public int peek() {
 
    }
    
    /** Returns whether the queue is empty. */
    public boolean empty() {
 ";"";"2020-03-25 15:17:52"
29;3;"Rust";"struct MyQueue {
 
}
 
 
/**
 * `&self` means the method takes an immutable 
reference.
 * If you need a mutable reference, change it to `&
mut self` instead.
 */
impl MyQueue {
 
    /** Initialize your data structure here. */
    fn new() -> Self {
 
    }
    
    /** Push element x to the back of queue. */
    fn push(&self, x: i32) {
 
    }
    
    /** Removes the element from in front of queue 
and returns that element. */
    fn pop(&self) -> i32 {";"";"2020-03-25 15:17:52"
30;3;"C";"typedef struct {
 
} MyQueue;
 
/** Initialize your data structure here. */
 
MyQueue* myQueueCreate() {
 
}
 
/** Push element x to the back of queue. */
void myQueuePush(MyQueue* obj, int x) {
 
}
 
/** Removes the element from in front of queue and 
returns that element. */
int myQueuePop(MyQueue* obj) {
 
}
 
/** Get the front element. */
int myQueuePeek(MyQueue* obj) {
 
}
 ";"";"2020-03-25 15:17:52"
31;3;"Scala";"class MyQueue() {
 
    /** Initialize your data structure here. */
 
 
    /** Push element x to the back of queue. */
    def push(x: Int) {
 
    }
 
    /** Removes the element from in front of queue 
and returns that element. */
    def pop(): Int = {
 
    }
 
    /** Get the front element. */
    def peek(): Int = {
 
    }
 
    /** Returns whether the queue is empty. */
    def empty(): Boolean = {
 
    }
 ";"";"2020-03-25 15:17:52"
32;3;"Go";"type MyQueue struct {
 
}
 
 
/** Initialize your data structure here. */
func Constructor() MyQueue {
 
}
 
 
/** Push element x to the back of queue. */
func (this *MyQueue) Push(x int)  {
 
}
 
 
/** Removes the element from in front of queue and 
returns that element. */
func (this *MyQueue) Pop() int {
 
}
 
 
/** Get the front element. */
func (this *MyQueue) Peek() int {";"";"2020-03-25 15:17:52"
33;3;"Kotlin";"class MyQueue() {
 
    /** Initialize your data structure here. */
 
 
    /** Push element x to the back of queue. */
    fun push(x: Int) {
 
    }
 
    /** Removes the element from in front of queue 
and returns that element. */
    fun pop(): Int {
 
    }
 
    /** Get the front element. */
    fun peek(): Int {
 
    }
 
    /** Returns whether the queue is empty. */
    fun empty(): Boolean {
 
    }
 ";"";"2020-03-25 15:17:52"
34;3;"Python3";"class MyQueue:
 
    def __init__(self):
        """"""
        Initialize your data structure here.
        """"""
 
 
    def push(self, x: int) -> None:
        """"""
        Push element x to the back of queue.
        """"""
 
 
    def pop(self) -> int:
        """"""
        Removes the element from in front of queue 
and returns that element.
        """"""
 
 
    def peek(self) -> int:
        """"""
        Get the front element.
        """"""
 ";"";"2020-03-25 15:17:52"
35;3;"JavaScript";"/**
 * Initialize your data structure here.
 */
var MyQueue = function() {
 
};
 
/**
 * Push element x to the back of queue. 
 * @param {number} x
 * @return {void}
 */
MyQueue.prototype.push = function(x) {
 
};
 
/**
 * Removes the element from in front of queue and 
returns that element.
 * @return {number}
 */
MyQueue.prototype.pop = function() {
 
};
 
/**";"";"2020-03-25 15:17:52"
36;3;"PHP";"class MyQueue {
    /**
     * Initialize your data structure here.
     */
    function __construct() {
 
    }
 
    /**
     * Push element x to the back of queue.
     * @param Integer $x
     * @return NULL
     */
    function push($x) {
 
    }
 
    /**
     * Removes the element from in front of queue 
and returns that element.
     * @return Integer
     */
    function pop() {
 
    }
 ";"";"2020-03-25 15:17:52"
37;3;"Swift";"class MyQueue {
 
    /** Initialize your data structure here. */
    init() {
 
    }
    
    /** Push element x to the back of queue. */
    func push(_ x: Int) {
 
    }
    
    /** Removes the element from in front of queue 
and returns that element. */
    func pop() -> Int {
 
    }
    
    /** Get the front element. */
    func peek() -> Int {
 
    }
    
    /** Returns whether the queue is empty. */
    func empty() -> Bool {
 ";"";"2020-03-25 15:17:52"
38;3;"Ruby";"class MyQueue
 
=begin
    Initialize your data structure here.
=end
    def initialize()
 
    end
 
 
=begin
    Push element x to the back of queue.
    :type x: Integer
    :rtype: Void
=end
    def push(x)
 
    end
 
 
=begin
    Removes the element from in front of queue and 
returns that element.
    :rtype: Integer
=end
    def pop()";"";"2020-03-25 15:17:52"
39;3;"Python";"class MyQueue(object):
 
    def __init__(self):
        """"""
        Initialize your data structure here.
        """"""
 
 
    def push(self, x):
        """"""
        Push element x to the back of queue.
        :type x: int
        :rtype: None
        """"""
 
 
    def pop(self):
        """"""
        Removes the element from in front of queue 
and returns that element.
        :rtype: int
        """"""
 
 
    def peek(self):
        """"""";"";"2020-03-25 15:17:52"
40;4;"C#";"public class Solution {
    public int MySqrt(int x) {
 
    }
}";"";"2020-03-25 15:17:52"
41;4;"Java";"class Solution {
    public int mySqrt(int x) {
 
    }
}";"";"2020-03-25 15:17:52"
42;4;"C";"int mySqrt(int x){
 
}";"";"2020-03-25 15:17:52"
43;4;"Rust";"impl Solution {
    pub fn my_sqrt(x: i32) -> i32 {
        
    }
}";"";"2020-03-25 15:17:52"
44;4;"Scala";"object Solution {
    def mySqrt(x: Int): Int = {
 
    }
}";"";"2020-03-25 15:17:52"
45;4;"Go";"func mySqrt(x int) int {
 
}";"";"2020-03-25 15:17:52"
46;4;"Kotlin";"class Solution {
    fun mySqrt(x: Int): Int {
 
    }
}";"";"2020-03-25 15:17:52"
47;4;"Python3";"class Solution:
    def mySqrt(self, x: int) -> int:";"";"2020-03-25 15:17:52"
48;4;"JavaScript";"/**
 * @param {number} x
 * @return {number}
 */
var mySqrt = function(x) {
 
};";"";"2020-03-25 15:17:52"
49;4;"PHP";"class Solution {
 
    /**
     * @param Integer $x
     * @return Integer
     */
    function mySqrt($x) {
        
    }
}";"";"2020-03-25 15:17:52"
50;4;"Swift";"class Solution {
    func mySqrt(_ x: Int) -> Int {
        
    }
}";"";"2020-03-25 15:17:52"
51;4;"Ruby";"# @param {Integer} x";"";"2020-03-25 15:17:52"
52;4;"Python";"class Solution(object):
    def mySqrt(self, x):
        """"""
        :type x: int
        :rtype: int
        """"""";"";"2020-03-25 15:17:52"
53;5;"C#";"public class Solution {
    public string ShortestCommonSupersequence
(string str1, string str2) {
 
    }
}";"";"2020-03-25 15:17:52"
54;5;"Java";"class Solution {
    public String shortestCommonSupersequence
(String str1, String str2) {
 
    }
}";"";"2020-03-25 15:17:52"
55;5;"Rust";"impl Solution {
    pub fn shortest_common_supersequence(str1: 
String, str2: String) -> String {
        
    }
}";"";"2020-03-25 15:17:52"
56;5;"C";"char * shortestCommonSupersequence(char * str1, 
char * str2){
 
}";"";"2020-03-25 15:17:52"
57;5;"Scala";"object Solution {
    def shortestCommonSupersequence(str1: String, 
str2: String): String = {
 
    }
}";"";"2020-03-25 15:17:52"
58;5;"Go";"func shortestCommonSupersequence(str1 string, str2 
string) string {
 
}";"";"2020-03-25 15:17:52"
59;5;"Kotlin";"class Solution {
    fun shortestCommonSupersequence(str1: String, 
str2: String): String {
 
    }
}";"";"2020-03-25 15:17:52"
60;5;"Python3";"class Solution:
    def shortestCommonSupersequence(self, str1: str,
 str2: str) -> str:";"";"2020-03-25 15:17:52"
61;5;"JavaScript";"/**
 * @param {string} str1
 * @param {string} str2
 * @return {string}
 */
var shortestCommonSupersequence = function(str1, 
str2) {
 
};";"";"2020-03-25 15:17:52"
62;5;"PHP";"class Solution {
 
    /**
     * @param String $str1
     * @param String $str2
     * @return String
     */
    function shortestCommonSupersequence($str1, 
$str2) {
        
    }
}";"";"2020-03-25 15:17:52"
63;5;"Swift";"class Solution {
    func shortestCommonSupersequence(_ str1: String,
 _ str2: String) -> String {
        
    }
}";"";"2020-03-25 15:17:52"
64;5;"Ruby";"# @param {String} str1
# @param {String} str2
# @return {String}
def shortest_common_supersequence(str1, str2)
 
end";"";"2020-03-25 15:17:52"
65;5;"Python";"class Solution(object):
    def shortestCommonSupersequence(self, str1, 
str2):
        """"""
        :type str1: str
        :type str2: str
        :rtype: str
        """"""";"";"2020-03-25 15:17:52"
66;6;"C#";"public class Solution {
    public int[] RearrangeBarcodes(int[] barcodes) {
 
    }
}";"";"2020-03-25 15:17:52"
67;6;"Java";"class Solution {
    public int[] rearrangeBarcodes(int[] barcodes) {
 
    }
}";"";"2020-03-25 15:17:52"
68;6;"C";"/**
 * Note: The returned array must be malloced, 
assume caller calls free().
 */
int* rearrangeBarcodes(int* barcodes, int 
barcodesSize, int* returnSize){
 
}";"";"2020-03-25 15:17:52"
69;6;"Rust";"impl Solution {
    pub fn rearrange_barcodes(barcodes: Vec<i32>) 
-> Vec<i32> {
        
    }
}";"";"2020-03-25 15:17:52"
70;6;"Scala";"object Solution {
    def rearrangeBarcodes(barcodes: Array[Int]): 
Array[Int] = {
 
    }
}";"";"2020-03-25 15:17:52"
71;6;"Go";"func rearrangeBarcodes(barcodes []int) []int {
 
}";"";"2020-03-25 15:17:52"
72;6;"Kotlin";"class Solution {
    fun rearrangeBarcodes(barcodes: IntArray): 
IntArray {
 
    }
}";"";"2020-03-25 15:17:52"
73;6;"Python3";"class Solution:
    def rearrangeBarcodes(self, barcodes: List[int])
 -> List[int]:";"";"2020-03-25 15:17:52"
74;6;"JavaScript";"/**
 * @param {number[]} barcodes
 * @return {number[]}
 */
var rearrangeBarcodes = function(barcodes) {
 
};";"";"2020-03-25 15:17:52"
75;6;"PHP";"class Solution {
 
    /**
     * @param Integer[] $barcodes
     * @return Integer[]
     */
    function rearrangeBarcodes($barcodes) {
        
    }
}";"";"2020-03-25 15:17:52"
76;6;"Swift";"class Solution {
    func rearrangeBarcodes(_ barcodes: [Int]) -> 
[Int] {
        
    }
}";"";"2020-03-25 15:17:52"
77;6;"Ruby";"# @param {Integer[]} barcodes";"";"2020-03-25 15:17:52"
78;6;"Python";"class Solution(object):
    def rearrangeBarcodes(self, barcodes):
        """"""
        :type barcodes: List[int]
        :rtype: List[int]
        """"""";"";"2020-03-25 15:17:52"
79;7;"C#";"public class Solution {
    public int BalancedStringSplit(string s) {
 
    }
}";"";"2020-03-25 15:17:52"
80;7;"Java";"class Solution {
    public int balancedStringSplit(String s) {
 
    }
}";"";"2020-03-25 15:17:52"
81;7;"C";"int balancedStringSplit(char * s){
 
}";"";"2020-03-25 15:17:52"
82;7;"Rust";"impl Solution {
    pub fn balanced_string_split(s: String) -> i32 {
 
    }
}";"";"2020-03-25 15:17:52"
83;7;"Scala";"object Solution {
    def balancedStringSplit(s: String): Int = {
 
    }
}";"";"2020-03-25 15:17:52"
84;7;"Go";"func balancedStringSplit(s string) int {
 
}";"";"2020-03-25 15:17:52"
85;7;"Kotlin";"class Solution {
    fun balancedStringSplit(s: String): Int {
 
    }
}";"";"2020-03-25 15:17:52"
86;7;"Python3";"class Solution:
    def balancedStringSplit(self, s: str) -> int:";"";"2020-03-25 15:17:52"
87;7;"JavaScript";"/**
 * @param {string} s
 * @return {number}
 */
var balancedStringSplit = function(s) {
 
};";"";"2020-03-25 15:17:52"
88;7;"PHP";"class Solution {
 
    /**
     * @param String $s
     * @return Integer
     */
    function balancedStringSplit($s) {
 
    }
}";"";"2020-03-25 15:17:52"
89;7;"Swift";"class Solution {
    func balancedStringSplit(_ s: String) -> Int {
 
    }
}";"";"2020-03-25 15:17:52"
90;7;"Ruby";"# @param {String} s
# @return {Integer}
def balanced_string_split(s)
 
end";"";"2020-03-25 15:17:52"
91;7;"Python";"class Solution(object):
    def balancedStringSplit(self, s):
        """"""
        :type s: str
        :rtype: int
        """"""";"";"2020-03-25 15:17:52"
92;8;"C#";"public class Solution {
    public int WaysToChange(int n) {
 
    }
}";"";"2020-03-25 15:17:52"
93;8;"Java";"class Solution {
    public int waysToChange(int n) {
 
    }
}";"";"2020-03-25 15:17:52"
94;8;"C";"int waysToChange(int n){
 
}";"";"2020-03-25 15:17:52"
95;8;"Rust";"impl Solution {
    pub fn ways_to_change(n: i32) -> i32 {
 
    }
}";"";"2020-03-25 15:17:52"
96;8;"Scala";"object Solution {
    def waysToChange(n: Int): Int = {
 
    }
}";"";"2020-03-25 15:17:52"
97;8;"Go";"func waysToChange(n int) int {
 
}";"";"2020-03-25 15:17:52"
98;8;"Kotlin";"class Solution {
    fun waysToChange(n: Int): Int {
 
    }
}";"";"2020-03-25 15:17:52"
99;8;"Python3";"class Solution:
    def waysToChange(self, n: int) -> int:";"";"2020-03-25 15:17:52"
100;8;"JavaScript";"/**
 * @param {number} n
 * @return {number}
 */
var waysToChange = function(n) {
 
};";"";"2020-03-25 15:17:52"
101;8;"PHP";"class Solution {
 
    /**
     * @param Integer $n
     * @return Integer
     */
    function waysToChange($n) {
 
    }
}";"";"2020-03-25 15:17:52"
102;8;"Swift";"class Solution {
    func waysToChange(_ n: Int) -> Int {
 
    }
}";"";"2020-03-25 15:17:52"
103;8;"Ruby";"# @param {Integer} n";"";"2020-03-25 15:17:52"
104;8;"Python";"class Solution(object):
    def waysToChange(self, n):
        """"""
        :type n: int
        :rtype: int
        """"""";"";"2020-03-25 15:17:52"
105;9;"C#";"public class Solution {
    public int OrangesRotting(int[][] grid) {
 
    }
}";"";"2020-03-25 15:17:52"
106;9;"Java";"class Solution {
    public int orangesRotting(int[][] grid) {
 
    }
}";"";"2020-03-25 15:17:52"
107;9;"C";"int orangesRotting(int** grid, int gridSize, int* 
gridColSize){
 
}";"";"2020-03-25 15:17:52"
108;9;"Rust";"impl Solution {
    pub fn oranges_rotting(grid: Vec<Vec<i32>>) -> 
i32 {
        
    }
}";"";"2020-03-25 15:17:52"
109;9;"Scala";"object Solution {
    def orangesRotting(grid: Array[Array[Int]]): 
Int = {
 
    }
}";"";"2020-03-25 15:17:52"
110;9;"Go";"func orangesRotting(grid [][]int) int {
 
}";"";"2020-03-25 15:17:52"
111;9;"Kotlin";"class Solution {
    fun orangesRotting(grid: Array<IntArray>): Int {
 
    }
}";"";"2020-03-25 15:17:52"
112;9;"Python3";"class Solution:
    def orangesRotting(self, grid: List[List[int]]) 
-> int:";"";"2020-03-25 15:17:52"
113;9;"JavaScript";"/**
 * @param {number[][]} grid
 * @return {number}
 */
var orangesRotting = function(grid) {
 
};";"";"2020-03-25 15:17:52"
114;9;"PHP";"class Solution {
 
    /**
     * @param Integer[][] $grid
     * @return Integer
     */
    function orangesRotting($grid) {
        
    }
}";"";"2020-03-25 15:17:52"
115;9;"Swift";"class Solution {
    func orangesRotting(_ grid: [[Int]]) -> Int {
        
    }
}";"";"2020-03-25 15:17:52"
116;9;"Ruby";"# @param {Integer[][]} grid";"";"2020-03-25 15:17:52"
117;9;"Python";"class Solution(object):
    def orangesRotting(self, grid):
        """"""
        :type grid: List[List[int]]
        :rtype: int
        """"""";"";"2020-03-25 15:17:52"
118;10;"C#";"public class Solution {
    public int Add(int a, int b) {
 
    }
}";"";"2020-03-25 15:17:52"
119;10;"Java";"class Solution {
    public int add(int a, int b) {
 
    }
}";"";"2020-03-25 15:17:52"
120;10;"C";"int add(int a, int b){
 
}";"";"2020-03-25 15:17:52"
121;10;"Rust";"impl Solution {
    pub fn add(a: i32, b: i32) -> i32 {
 
    }
}";"";"2020-03-25 15:17:52"
122;10;"Scala";"object Solution {
    def add(a: Int, b: Int): Int = {
 
    }
}";"";"2020-03-25 15:17:52"
123;10;"Go";"func add(a int, b int) int {
 
}";"";"2020-03-25 15:17:52"
124;10;"Kotlin";"class Solution {
    fun add(a: Int, b: Int): Int {
 
    }
}";"";"2020-03-25 15:17:52"
125;10;"Python3";"class Solution:
    def add(self, a: int, b: int) -> int:";"";"2020-03-25 15:17:52"
126;10;"JavaScript";"/**
 * @param {number} a
 * @param {number} b
 * @return {number}
 */
var add = function(a, b) {
 
};";"";"2020-03-25 15:17:52"
127;10;"PHP";"class Solution {
 
    /**
     * @param Integer $a
     * @param Integer $b
     * @return Integer
     */
    function add($a, $b) {
 
    }
}";"";"2020-03-25 15:17:52"
128;10;"Swift";"class Solution {
    func add(_ a: Int, _ b: Int) -> Int {
 
    }
}";"";"2020-03-25 15:17:52"
129;10;"Ruby";"# @param {Integer} a";"";"2020-03-25 15:17:52"
130;10;"Python";"class Solution(object):
    def add(self, a, b):
        """"""
        :type a: int
        :type b: int
        :rtype: int
        """"""";"";"2020-03-25 15:17:52"
131;11;"C#";"public class Solution {
    public int RotatedDigits(int N) {
 
    }
}";"";"2020-03-25 15:17:53"
132;11;"Java";"class Solution {
    public int rotatedDigits(int N) {
 
    }
}";"";"2020-03-25 15:17:53"
133;11;"C";"int rotatedDigits(int N){
 
}";"";"2020-03-25 15:17:53"
134;11;"Rust";"impl Solution {
    pub fn rotated_digits(n: i32) -> i32 {
        
    }
}";"";"2020-03-25 15:17:53"
135;11;"Scala";"object Solution {
    def rotatedDigits(N: Int): Int = {
 
    }
}";"";"2020-03-25 15:17:53"
136;11;"Go";"func rotatedDigits(N int) int {
 
}";"";"2020-03-25 15:17:53"
137;11;"Kotlin";"class Solution {
    fun rotatedDigits(N: Int): Int {
 
    }
}";"";"2020-03-25 15:17:53"
138;11;"Python3";"class Solution:
    def rotatedDigits(self, N: int) -> int:";"";"2020-03-25 15:17:53"
139;11;"JavaScript";"/**
 * @param {number} N
 * @return {number}
 */
var rotatedDigits = function(N) {
 
};";"";"2020-03-25 15:17:53"
140;11;"PHP";"class Solution {
 
    /**
     * @param Integer $N
     * @return Integer
     */
    function rotatedDigits($N) {
        
    }
}";"";"2020-03-25 15:17:53"
141;11;"Swift";"class Solution {
    func rotatedDigits(_ N: Int) -> Int {
        
    }
}";"";"2020-03-25 15:17:53"
142;11;"Ruby";"# @param {Integer} n
# @return {Integer}
def rotated_digits(n)
 
end";"";"2020-03-25 15:17:53"
143;11;"Python";"class Solution(object):
    def rotatedDigits(self, N):
        """"""
        :type N: int
        :rtype: int
        """"""";"";"2020-03-25 15:17:53"
144;12;"C#";"public class Solution {
    public IList<int> SplitIntoFibonacci(string S) {
 
    }
}";"";"2020-03-25 15:17:53"
145;12;"Java";"class Solution {
    public List<Integer> splitIntoFibonacci(String 
S) {
 
    }
}";"";"2020-03-25 15:17:53"
146;12;"C";"/**
 * Note: The returned array must be malloced, 
assume caller calls free().
 */
int* splitIntoFibonacci(char * S, int* returnSize){
 
}";"";"2020-03-25 15:17:53"
147;12;"Rust";"impl Solution {
    pub fn split_into_fibonacci(s: String) -> 
Vec<i32> {
        
    }
}";"";"2020-03-25 15:17:53"
148;12;"Scala";"object Solution {
    def splitIntoFibonacci(S: String): List[Int] = {
 
    }
}";"";"2020-03-25 15:17:53"
149;12;"Python3";"class Solution:
    def splitIntoFibonacci(self, S: str) -> List
[int]:";"";"2020-03-25 15:17:53"
150;12;"JavaScript";"/**
 * @param {string} S
 * @return {number[]}
 */
var splitIntoFibonacci = function(S) {
 
};";"";"2020-03-25 15:17:53"
151;12;"Go";"func splitIntoFibonacci(S string) []int {
 
}";"";"2020-03-25 15:17:53"
152;12;"PHP";"class Solution {
 
    /**
     * @param String $S
     * @return Integer[]
     */
    function splitIntoFibonacci($S) {
        
    }
}";"";"2020-03-25 15:17:53"
153;12;"Ruby";"# @param {String} s";"";"2020-03-25 15:17:53"
154;12;"Python";"class Solution(object):
    def splitIntoFibonacci(self, S):
        """"""
        :type S: str
        :rtype: List[int]
        """"""";"";"2020-03-25 15:17:53"
155;12;"Kotlin";"class Solution {
    fun splitIntoFibonacci(S: String): List<Int> {
 
    }
}";"";"2020-03-25 15:17:53"
156;13;"C#";"public class Solution {
    public int[][] ColorBorder(int[][] grid, int r0,
 int c0, int color) {
 
    }
}";"";"2020-03-25 15:17:53"
157;13;"Java";"class Solution {
    public int[][] colorBorder(int[][] grid, int r0,
 int c0, int color) {
 
    }
}";"";"2020-03-25 15:17:53"
158;13;"C";"/**
 * Return an array of arrays of size *returnSize.
 * The sizes of the arrays are returned as 
*returnColumnSizes array.
 * Note: Both returned array and *columnSizes array 
must be malloced, assume caller calls free().
 */
int** colorBorder(int** grid, int gridSize, int* 
gridColSize, int r0, int c0, int color, int* 
returnSize, int** returnColumnSizes){
 
}";"";"2020-03-25 15:17:53"
159;13;"Rust";"impl Solution {
    pub fn color_border(grid: Vec<Vec<i32>>, r0: 
i32, c0: i32, color: i32) -> Vec<Vec<i32>> {
        
    }
}";"";"2020-03-25 15:17:53"
160;13;"Scala";"object Solution {
    def colorBorder(grid: Array[Array[Int]], r0: 
Int, c0: Int, color: Int): Array[Array[Int]] = {
 
    }
}";"";"2020-03-25 15:17:53"
161;13;"Go";"func colorBorder(grid [][]int, r0 int, c0 int, 
color int) [][]int {
 
}";"";"2020-03-25 15:17:53"
162;13;"Kotlin";"class Solution {
    fun colorBorder(grid: Array<IntArray>, r0: Int, 
c0: Int, color: Int): Array<IntArray> {
 
    }
}";"";"2020-03-25 15:17:53"
163;13;"Python3";"class Solution:
    def colorBorder(self, grid: List[List[int]], 
r0: int, c0: int, color: int) -> List[List[int]]:";"";"2020-03-25 15:17:53"
164;13;"JavaScript";"/**
 * @param {number[][]} grid
 * @param {number} r0
 * @param {number} c0
 * @param {number} color
 * @return {number[][]}
 */
var colorBorder = function(grid, r0, c0, color) {
 
};";"";"2020-03-25 15:17:53"
165;13;"PHP";"class Solution {
 
    /**
     * @param Integer[][] $grid
     * @param Integer $r0
     * @param Integer $c0
     * @param Integer $color
     * @return Integer[][]
     */
    function colorBorder($grid, $r0, $c0, $color) {
        
    }
}";"";"2020-03-25 15:17:53"
